epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,375.164,0.99944,1.53002,0.1959,0.65081,1.22582,0.99535,1,0.995,0.582,0.94235,0.94444,0.945,0.81498,1.64755,0.88603,0.07468,0.66907,1.53629,0.0005546,0.0005546,0.0005546
75,380.042,1.15919,1.49685,0.19294,0.73322,1.26002,0.99584,1,0.995,0.54832,0.94167,0.94444,0.945,0.79164,1.79638,0.87905,0.07413,0.66066,1.66829,0.0005348,0.0005348,0.0005348
76,384.824,1.12675,1.33751,0.19608,0.69638,1.17754,0.9953,1,0.995,0.52492,0.94155,0.94444,0.945,0.79885,1.78066,0.73573,0.07223,0.61148,1.67501,0.000515,0.000515,0.000515
77,389.936,1.07115,1.6452,0.20243,0.68143,1.20572,0.99491,1,0.995,0.55751,0.94087,0.94444,0.945,0.80645,1.69325,0.73258,0.07024,0.59889,1.616,0.0004952,0.0004952,0.0004952
78,394.754,1.04474,1.47445,0.19216,0.67514,1.16693,0.99484,1,0.995,0.61174,0.93957,0.94444,0.94167,0.81172,1.59664,0.75967,0.06985,0.58177,1.55188,0.0004754,0.0004754,0.0004754
79,399.886,1.05287,1.52244,0.22184,0.65069,1.1792,0.99504,1,0.995,0.56099,0.94365,0.94444,0.945,0.77066,1.79685,0.96654,0.07322,0.64391,1.78003,0.0004556,0.0004556,0.0004556
80,404.905,1.0179,1.35038,0.18684,0.62538,1.18281,0.99039,1,0.995,0.52476,0.94435,0.94444,0.945,0.76155,1.87572,1.01948,0.07334,0.68381,1.84607,0.0004358,0.0004358,0.0004358
81,409.812,0.97278,1.60034,0.21435,0.6742,1.18459,0.99933,1,0.995,0.52459,0.98789,0.94444,0.945,0.76758,1.81997,0.88708,0.07478,0.66685,1.73717,0.000416,0.000416,0.000416
82,414.673,1.16543,1.75874,0.18889,0.7412,1.21241,0.99986,1,0.995,0.57337,0.99348,0.94444,0.945,0.79055,1.71326,0.83528,0.07617,0.61212,1.61717,0.0003962,0.0003962,0.0003962
83,419.563,1.04798,1.34977,0.19026,0.61423,1.16772,1,0.99768,0.995,0.58025,0.99493,0.94444,0.945,0.78967,1.6111,0.8125,0.07962,0.57442,1.51667,0.0003764,0.0003764,0.0003764
84,424.484,0.97477,1.24907,0.21583,0.59586,1.18218,1,0.99647,0.995,0.63178,0.99537,0.94444,0.945,0.82487,1.53886,0.77091,0.08567,0.57788,1.44973,0.0003566,0.0003566,0.0003566
85,429.462,1.14523,1.40267,0.18842,0.63787,1.21075,1,0.99623,0.995,0.62871,0.99559,0.94444,0.945,0.82572,1.57013,0.74068,0.0872,0.59288,1.48361,0.0003368,0.0003368,0.0003368
86,434.42,1.0027,1.41004,0.18055,0.63957,1.1871,1,0.99664,0.995,0.61443,0.99548,0.94444,0.945,0.82104,1.58074,0.72456,0.08955,0.61064,1.51031,0.000317,0.000317,0.000317
87,439.319,1.08136,1.67278,0.18009,0.72359,1.2433,1,0.99555,0.995,0.60687,0.99485,0.94444,0.945,0.83497,1.62593,0.70775,0.08814,0.6295,1.57281,0.0002972,0.0002972,0.0002972
88,444.336,0.96167,1.30077,0.18585,0.60568,1.19396,1,0.99508,0.995,0.58212,0.99459,0.94444,0.945,0.85071,1.70046,0.70949,0.0881,0.63378,1.64223,0.0002774,0.0002774,0.0002774
89,449.239,1.04972,1.23512,0.17197,0.63914,1.17961,1,0.99336,0.995,0.57404,0.99253,0.94444,0.945,0.86025,1.67237,0.68923,0.08264,0.59955,1.60976,0.0002576,0.0002576,0.0002576
90,454.238,1.04304,1.09993,0.17351,0.666,1.17099,1,0.99409,0.995,0.6129,0.99128,0.94444,0.945,0.86279,1.5873,0.66665,0.08125,0.55781,1.55511,0.0002378,0.0002378,0.0002378
91,459.14,0.84512,0.60488,0.10214,0.45913,1.06336,1,0.99724,0.995,0.62474,0.99044,0.94444,0.945,0.85087,1.50205,0.65949,0.08125,0.53333,1.49309,0.000218,0.000218,0.000218
92,463.957,0.92297,0.58492,0.10406,0.48129,1.16332,0.99905,1,0.995,0.6207,0.98869,0.94444,0.945,0.85724,1.50188,0.65512,0.08175,0.52784,1.4894,0.0001982,0.0001982,0.0001982
93,468.76,0.804,0.53642,0.10369,0.45206,1.05537,0.99808,1,0.995,0.58911,0.98792,0.94444,0.945,0.85621,1.60873,0.65123,0.0829,0.54492,1.56492,0.0001784,0.0001784,0.0001784
94,473.59,0.90383,0.56469,0.09313,0.46073,1.05795,0.99844,1,0.995,0.58578,0.9892,0.94444,0.945,0.85621,1.62913,0.625,0.08379,0.54078,1.57239,0.0001586,0.0001586,0.0001586
95,478.369,0.82373,0.52594,0.08731,0.44289,1.08466,1,0.99497,0.995,0.60667,0.98936,0.94444,0.945,0.86331,1.54604,0.59257,0.0809,0.50452,1.50334,0.0001388,0.0001388,0.0001388
96,483.227,0.81631,0.48303,0.08964,0.45233,1.12306,1,0.99534,0.995,0.62257,0.98981,0.94444,0.945,0.86878,1.49978,0.59171,0.07945,0.4963,1.46801,0.000119,0.000119,0.000119
97,488.004,0.83251,0.49218,0.08693,0.44345,1.08882,1,0.99479,0.995,0.614,0.99049,0.94444,0.945,0.876,1.47869,0.60659,0.07578,0.49488,1.45132,9.92e-05,9.92e-05,9.92e-05
98,492.726,0.74028,0.47388,0.10095,0.42347,1.05199,1,0.99405,0.995,0.61503,0.99061,0.94444,0.945,0.87314,1.47149,0.60469,0.07502,0.49027,1.44299,7.94e-05,7.94e-05,7.94e-05
99,497.448,0.71252,0.47981,0.08969,0.40475,1.04682,1,0.99455,0.995,0.60853,0.99135,0.94444,0.945,0.87702,1.49924,0.60076,0.07441,0.48874,1.46222,5.96e-05,5.96e-05,5.96e-05
100,502.251,0.80986,0.51842,0.08786,0.44391,1.08041,0.99937,1,0.995,0.60094,0.99153,0.94444,0.945,0.8758,1.4926,0.59227,0.07395,0.48649,1.45779,3.98e-05,3.98e-05,3.98e-05
